build_up_area,avg._price,floor,age_of_property,furnishing,bhk,link,possession_status,sector,parking,latitude,longitude
300,5.0,1,5,2,1,"https://housing.com//in/buy/resale/page/10643927-1-rk-apartment-in-sector-57-for-rs-1500000
",0,57,1,28.4232,77.0752
900,1.67,1,10,0,2,"https://housing.com//in/buy/resale/page/11481253-2-bhk-apartment-in-sector-3-for-rs-1500000
",0,3,3,28.4909,77.0176
198,7.58,5,2,0,1,"https://housing.com//in/buy/resale/page/9379542-1-rk-apartment-in-sector-84-for-rs-1000000
",0,84,1,28.3979,76.9736
250,6.2,1,6,2,1,"https://housing.com//in/buy/resale/page/4627555-1-rk-apartment-in-sector-57-for-rs-1550000
",0,57,2,28.4232,77.0752
413,3.76,2,0,0,1,"https://housing.com//in/buy/resale/page/10214802-1-bhk-apartment-in-sector-79-for-rs-1553271
",0,79,1,28.3624,76.9787
427,3.69,13,1,0,1,"https://housing.com//in/buy/resale/page/12067507-1-bhk-apartment-in-sector-95-for-rs-1575500
",0,95,2,28.4172,76.9081
780,2.05,1,0,1,2,"https://housing.com//in/buy/resale/page/12348743-2-bhk-apartment-in-sector-23a-for-rs-1600000
",0,23a,0,28.5054,77.0493
198,8.08,7,4,2,1,"https://housing.com//in/buy/resale/page/11127974-1-rk-apartment-in-sector-72-for-rs-1600000
",0,72,1,28.4225,77.0211
600,2.67,1,0,0,1,"https://housing.com//in/buy/resale/page/11971768-1-rk-apartment-in-sector-71-for-rs-1600000
",0,71,0,28.4104,77.0281
700,2.32,11,3,1,1,"https://housing.com//in/buy/resale/page/11267730-1-bhk-apartment-in-sector-95-for-rs-1625000
",0,95,2,28.4172,76.9081
424,3.88,6,0,1,1,"https://housing.com//in/buy/resale/page/8942910-1-bhk-apartment-in-sector-35,-sohna-for-rs-1645000
",0,35,0,28.4155,77.0022
700,2.36,12,3,1,1,"https://housing.com//in/buy/resale/page/10203146-1-bhk-apartment-in-sector-95-for-rs-1650000
",0,95,2,28.4172,76.9081
356,4.78,20,0,0,1,"https://housing.com//in/buy/resale/page/10571280-1-bhk-apartment-in-sector-79-for-rs-1700000
",0,79,0,28.3624,76.9787
1500,1.13,2,1,1,1,"https://housing.com//in/buy/resale/page/9146228-1-bhk-apartment-in-sector-3a-for-rs-1700000
",0,3a,2,28.481,77.0068
